token	leaf	recipe	metric	best_before_lqr	best_after_lqr	best_before_pp	best_after_pp	drivor_pp	hist_seed_0	hist_seed_1	hist_seed_1024
02902d180b405100	C-1	-	penalty	0.6	1.0	1.0	1.0	0.966595	1.0	1.0	1.0
02902d180b405100	C-1	-	termination	contact_at_fault	goal_reached	goal_reached	goal_reached	off_drivable	goal_reached	goal_reached	goal_reached
02902d180b405100	C-1	-	term_frame	245	355	336	335	129	356	353	356
02902d180b405100	C-1	-	detail	front with 83d20455cdc75b71	goal region entered	goal region entered	goal region entered	off drivable for 0.5 s through frame 129	goal region entered	goal region entered	goal region entered
02902d180b405100	C-1	-	frames	246	356	337	336	130	357	354	357
02902d180b405100	C-1	-	warmup	20	20	20	20	20	20	20	20
02902d180b405100	C-1	-	off_route_pct	0.0	0.0	0.0	0.0	3.34	0.0	0.0	0.0
02902d180b405100	C-1	-	coll_vehicle	1	0	0	0	0	0	0	0
02902d180b405100	C-1	-	coll_ped	0	0	0	0	0	0	0	0
02902d180b405100	C-1	-	coll_layout	0	0	0	0	0	0	0	0
02902d180b405100	C-1	-	red_light	0	0	0	0	0	0	0	0
02902d180b405100	C-1	-	comfort	0.9091	0.9375	0.1333	0.0667	0.0	0.9375	0.875	0.9375
02902d180b405100	C-1	-	route_completion	107.561	162.3061	162.0161	161.956	46.7189	162.3083	162.005	162.3083
02902d180b405100	C-1	-	epdms	0.8334	0.8579	0.7619	0.7502	0.7465	0.7961	0.7946	0.7961
02902d180b405100	C-1	-	no_at_fault_collisions	0.9956	1.0	1.0	1.0	1.0	1.0	1.0	1.0
02902d180b405100	C-1	-	drivable_area_compliance	1.0	1.0	1.0	1.0	0.9364	1.0	1.0	1.0
02902d180b405100	C-1	-	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
02902d180b405100	C-1	-	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
02902d180b405100	C-1	-	time_to_collision_within_bound	0.9646	1.0	1.0	1.0	1.0	1.0	1.0	1.0
02902d180b405100	C-1	-	lane_keeping	0.9558	0.8929	0.9022	0.7975	0.8273	0.4599	0.4671	0.4599
02902d180b405100	C-1	-	history_comfort	0.9867	0.9821	0.6404	0.6424	0.6818	0.9763	0.976	0.9763
02902d180b405100	C-1	-	extended_comfort	0.6504	0.6667	0.2713	0.269	0.5273	0.6795	0.6617	0.6795
02902d180b405100	C-1	-	ego_progress	0.6481	1.0	1.0	1.0	0.2717	1.0	1.0	1.0
02902d180b405100	C-1	-	collision_count	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02902d180b405100	C-1	-	avg_speed	4.3763	4.5618	4.8104	4.823	3.6011	4.5491	4.5791	4.5491
07c5114fdb395f8b	V-5	-	DS	100.0	100.0	100.0	100.0	41.672	100.0	100.0	100.0
07c5114fdb395f8b	V-5	-	success	1	1	1	1	0	1	1	1
07c5114fdb395f8b	V-5	-	RC_pct	100.0	100.0	100.0	100.0	69.45	100.0	100.0	100.0
07c5114fdb395f8b	V-5	-	penalty	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0
07c5114fdb395f8b	V-5	-	termination	goal_reached	goal_reached	goal_reached	goal_reached	contact_at_fault	goal_reached	goal_reached	goal_reached
07c5114fdb395f8b	V-5	-	term_frame	313	313	292	254	222	324	287	324
07c5114fdb395f8b	V-5	-	detail	goal region entered	goal region entered	goal region entered	goal region entered	front with a119e2a2636a54cc	goal region entered	goal region entered	goal region entered
07c5114fdb395f8b	V-5	-	frames	314	314	293	255	223	325	288	325
07c5114fdb395f8b	V-5	-	warmup	20	20	20	20	20	20	20	20
07c5114fdb395f8b	V-5	-	off_route_pct	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
07c5114fdb395f8b	V-5	-	coll_vehicle	0	0	0	0	1	0	0	0
07c5114fdb395f8b	V-5	-	coll_ped	0	0	0	0	0	0	0	0
07c5114fdb395f8b	V-5	-	coll_layout	0	0	0	0	0	0	0	0
07c5114fdb395f8b	V-5	-	red_light	0	0	0	0	0	0	0	0
07c5114fdb395f8b	V-5	-	comfort	0.8571	0.9286	0.4615	0.5455	0.2	0.8	0.9231	0.8
07c5114fdb395f8b	V-5	-	route_completion	224.1347	224.1659	224.0134	224.5336	157.0441	224.4733	224.392	224.4733
07c5114fdb395f8b	V-5	-	epdms	0.8612	0.8396	0.8026	0.7867	0.6538	0.776	0.8426	0.776
07c5114fdb395f8b	V-5	-	no_at_fault_collisions	1.0	1.0	1.0	1.0	0.9951	1.0	1.0	1.0
07c5114fdb395f8b	V-5	-	drivable_area_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
07c5114fdb395f8b	V-5	-	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
07c5114fdb395f8b	V-5	-	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
07c5114fdb395f8b	V-5	-	time_to_collision_within_bound	1.0	1.0	1.0	1.0	0.9606	1.0	1.0	1.0
07c5114fdb395f8b	V-5	-	lane_keeping	0.4898	0.3639	0.6996	0.4596	0.4236	0.4098	0.6045	0.4098
07c5114fdb395f8b	V-5	-	history_comfort	0.9796	0.9796	0.7363	0.7872	0.5517	0.9541	0.9627	0.9541
07c5114fdb395f8b	V-5	-	extended_comfort	0.7585	0.7109	0.4139	0.4851	0.532	0.6426	0.6754	0.6426
07c5114fdb395f8b	V-5	-	ego_progress	1.0	1.0	1.0	1.0	0.6494	1.0	1.0	1.0
07c5114fdb395f8b	V-5	-	collision_count	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
07c5114fdb395f8b	V-5	-	avg_speed	7.1791	7.1801	7.6895	8.8558	7.1002	6.9466	7.8362	6.9466
089e3eac4f7e5c5c	V-4	-	DS	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
089e3eac4f7e5c5c	V-4	-	success	1	1	1	1	1	1	1	1
089e3eac4f7e5c5c	V-4	-	RC_pct	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
089e3eac4f7e5c5c	V-4	-	penalty	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
089e3eac4f7e5c5c	V-4	-	termination	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached
089e3eac4f7e5c5c	V-4	-	term_frame	232	244	206	207	208	192	188	192
089e3eac4f7e5c5c	V-4	-	detail	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered
089e3eac4f7e5c5c	V-4	-	frames	233	245	207	208	209	193	189	193
089e3eac4f7e5c5c	V-4	-	warmup	20	20	20	20	20	20	20	20
089e3eac4f7e5c5c	V-4	-	off_route_pct	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
089e3eac4f7e5c5c	V-4	-	coll_vehicle	0	0	0	0	0	0	0	0
089e3eac4f7e5c5c	V-4	-	coll_ped	0	0	0	0	0	0	0	0
089e3eac4f7e5c5c	V-4	-	coll_layout	0	0	0	0	0	0	0	0
089e3eac4f7e5c5c	V-4	-	red_light	0	0	0	0	0	0	0	0
089e3eac4f7e5c5c	V-4	-	comfort	0.6	0.8182	0.0	0.0	0.2222	0.75	0.875	0.75
089e3eac4f7e5c5c	V-4	-	route_completion	101.255	101.2734	99.5663	99.2025	100.1955	100.9756	100.6971	100.9756
089e3eac4f7e5c5c	V-4	-	epdms	0.8472	0.7877	0.712	0.6936	0.7248	0.8691	0.8974	0.8691
089e3eac4f7e5c5c	V-4	-	no_at_fault_collisions	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
089e3eac4f7e5c5c	V-4	-	drivable_area_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
089e3eac4f7e5c5c	V-4	-	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
089e3eac4f7e5c5c	V-4	-	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
089e3eac4f7e5c5c	V-4	-	time_to_collision_within_bound	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
089e3eac4f7e5c5c	V-4	-	lane_keeping	0.8357	0.4489	0.4652	0.4096	0.381	0.7457	1.0	0.7457
089e3eac4f7e5c5c	V-4	-	history_comfort	0.9577	0.9644	0.6952	0.6649	0.7566	0.9827	0.9882	0.9827
089e3eac4f7e5c5c	V-4	-	extended_comfort	0.6526	0.6356	0.2406	0.2447	0.3228	0.7341	0.7337	0.7341
089e3eac4f7e5c5c	V-4	-	ego_progress	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
089e3eac4f7e5c5c	V-4	-	collision_count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
089e3eac4f7e5c5c	V-4	-	avg_speed	4.3934	4.1789	4.8636	4.8227	4.8472	5.2894	5.3866	5.2894
0d5b8da00d505be0	I-2	-	DS	100.0	100.0	100.0	100.0	89.303	100.0	100.0	100.0
0d5b8da00d505be0	I-2	-	success	1	1	1	1	0	1	1	1
0d5b8da00d505be0	I-2	-	RC_pct	100.0	100.0	100.0	100.0	89.3	100.0	100.0	100.0
0d5b8da00d505be0	I-2	-	penalty	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0d5b8da00d505be0	I-2	-	termination	goal_reached	goal_reached	goal_reached	goal_reached	off_drivable	goal_reached	goal_reached	goal_reached
0d5b8da00d505be0	I-2	-	term_frame	389	391	369	381	382	332	328	332
0d5b8da00d505be0	I-2	-	detail	goal region entered	goal region entered	goal region entered	goal region entered	off drivable for 0.5 s through frame 382	goal region entered	goal region entered	goal region entered
0d5b8da00d505be0	I-2	-	frames	390	392	370	382	383	333	329	333
0d5b8da00d505be0	I-2	-	warmup	20	20	20	20	20	20	20	20
0d5b8da00d505be0	I-2	-	off_route_pct	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d5b8da00d505be0	I-2	-	coll_vehicle	0	0	0	0	0	0	0	0
0d5b8da00d505be0	I-2	-	coll_ped	0	0	0	0	0	0	0	0
0d5b8da00d505be0	I-2	-	coll_layout	0	0	0	0	0	0	0	0
0d5b8da00d505be0	I-2	-	red_light	0	0	0	0	0	0	0	0
0d5b8da00d505be0	I-2	-	comfort	0.7222	0.9444	0.1765	0.1667	0.0556	0.7333	0.7333	0.7333
0d5b8da00d505be0	I-2	-	route_completion	227.8024	227.6109	228.2273	227.8081	206.1021	227.8566	228.1452	227.8566
0d5b8da00d505be0	I-2	-	epdms	0.8063	0.808	0.6942	0.7	0.6671	0.7542	0.7467	0.7542
0d5b8da00d505be0	I-2	-	no_at_fault_collisions	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0d5b8da00d505be0	I-2	-	drivable_area_compliance	1.0	1.0	1.0	1.0	0.9862	1.0	1.0	1.0
0d5b8da00d505be0	I-2	-	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0d5b8da00d505be0	I-2	-	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0d5b8da00d505be0	I-2	-	time_to_collision_within_bound	1.0	1.0	1.0	1.0	0.9835	1.0	1.0	1.0
0d5b8da00d505be0	I-2	-	lane_keeping	0.6216	0.6398	0.5914	0.6436	0.573	0.3291	0.2913	0.3291
0d5b8da00d505be0	I-2	-	history_comfort	0.9838	0.9785	0.6029	0.5801	0.5895	0.9681	0.9741	0.9681
0d5b8da00d505be0	I-2	-	extended_comfort	0.6892	0.6828	0.2857	0.2459	0.3719	0.6613	0.6764	0.6613
0d5b8da00d505be0	I-2	-	ego_progress	1.0	1.0	1.0	1.0	0.877	1.0	1.0	1.0
0d5b8da00d505be0	I-2	-	collision_count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d5b8da00d505be0	I-2	-	avg_speed	5.8665	5.8317	6.1951	5.9895	5.4072	6.8723	6.9647	6.8723
132307b3c1a55f97	R-3	R-3	DS	10.17	10.165	12.438	11.544	30.601	10.35	100.0	10.35
132307b3c1a55f97	R-3	R-3	success	0	0	0	0	0	0	1	0
132307b3c1a55f97	R-3	R-3	RC_pct	10.55	10.55	24.88	23.09	51.0	10.93	100.0	10.93
132307b3c1a55f97	R-3	R-3	penalty	0.963571	0.963104	0.5	0.5	0.6	0.947017	1.0	0.947017
132307b3c1a55f97	R-3	R-3	termination	off_drivable	off_drivable	contact_at_fault	contact_at_fault	contact_at_fault	off_drivable	goal_reached	off_drivable
132307b3c1a55f97	R-3	R-3	term_frame	60	63	71	86	248	60	393	60
132307b3c1a55f97	R-3	R-3	detail	off drivable for 0.5 s through frame 60	off drivable for 0.5 s through frame 63	vru with navsafe_ped_1	vru with navsafe_robot_2	front with a2f1f2ee41b05373	off drivable for 0.5 s through frame 60	goal region entered	off drivable for 0.5 s through frame 60
132307b3c1a55f97	R-3	R-3	frames	61	64	72	87	249	61	394	61
132307b3c1a55f97	R-3	R-3	warmup	8	8	8	8	8	8	8	8
132307b3c1a55f97	R-3	R-3	off_route_pct	3.643	3.69	0.0	0.0	0.0	5.298	0.0	5.298
132307b3c1a55f97	R-3	R-3	coll_vehicle	0	0	0	0	1	0	0	0
132307b3c1a55f97	R-3	R-3	coll_ped	0	0	1	1	0	0	0	0
132307b3c1a55f97	R-3	R-3	coll_layout	0	0	0	0	0	0	0	0
132307b3c1a55f97	R-3	R-3	red_light	0	0	0	0	0	0	0	0
132307b3c1a55f97	R-3	R-3	comfort	0.5	0.5	0.6667	0.0	0.0	1.0	0.8947	1.0
132307b3c1a55f97	R-3	R-3	route_completion	15.3501	15.4532	34.1744	31.3563	71.0461	15.5445	137.9736	15.5445
132307b3c1a55f97	R-3	R-3	epdms	0.7647	0.7549	0.7341	0.6793	0.7124	0.7672	0.796	0.7672
132307b3c1a55f97	R-3	R-3	no_at_fault_collisions	1.0	1.0	0.9844	0.9873	0.9959	1.0	1.0	1.0
132307b3c1a55f97	R-3	R-3	drivable_area_compliance	0.9057	0.9107	1.0	1.0	1.0	0.9057	1.0	0.9057
132307b3c1a55f97	R-3	R-3	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
132307b3c1a55f97	R-3	R-3	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
132307b3c1a55f97	R-3	R-3	time_to_collision_within_bound	1.0	1.0	0.8438	0.8861	0.971	1.0	1.0	1.0
132307b3c1a55f97	R-3	R-3	lane_keeping	0.9245	0.9107	0.6094	0.2405	0.9004	0.8679	0.5959	0.8679
132307b3c1a55f97	R-3	R-3	history_comfort	0.9811	1.0	0.6562	0.5823	0.6598	1.0	0.9741	1.0
132307b3c1a55f97	R-3	R-3	extended_comfort	0.7547	0.6786	0.3281	0.3544	0.4855	0.7736	0.6788	0.7736
132307b3c1a55f97	R-3	R-3	ego_progress	0.0863	0.0863	0.2322	0.214	0.4984	0.0902	1.0	0.0902
132307b3c1a55f97	R-3	R-3	collision_count	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
132307b3c1a55f97	R-3	R-3	avg_speed	2.5618	2.4578	4.7849	3.636	2.8644	2.5936	3.5089	2.5936
14c0a657ac3e5bb7	V-8	V-8	DS	21.118	21.083	100.0	100.0	22.242	20.243	20.243	20.243
14c0a657ac3e5bb7	V-8	V-8	success	0	0	1	1	0	0	0	0
14c0a657ac3e5bb7	V-8	V-8	RC_pct	21.43	21.43	100.0	100.0	37.07	33.74	33.74	33.74
14c0a657ac3e5bb7	V-8	V-8	penalty	0.985554	0.983943	1.0	1.0	0.6	0.6	0.6	0.6
14c0a657ac3e5bb7	V-8	V-8	termination	off_drivable	off_drivable	goal_reached	goal_reached	contact_at_fault	contact_at_fault	contact_at_fault	contact_at_fault
14c0a657ac3e5bb7	V-8	V-8	term_frame	110	110	255	246	141	343	343	343
14c0a657ac3e5bb7	V-8	V-8	detail	off drivable for 0.5 s through frame 110	off drivable for 0.5 s through frame 110	goal region entered	goal region entered	front with efd2e658459857cb	front with efd2e658459857cb	front with efd2e658459857cb	front with efd2e658459857cb
14c0a657ac3e5bb7	V-8	V-8	frames	111	111	256	247	142	344	344	344
14c0a657ac3e5bb7	V-8	V-8	warmup	8	8	8	8	8	8	8	8
14c0a657ac3e5bb7	V-8	V-8	off_route_pct	1.445	1.606	0.0	0.0	0.0	0.0	0.0	0.0
14c0a657ac3e5bb7	V-8	V-8	coll_vehicle	0	0	0	0	1	1	1	1
14c0a657ac3e5bb7	V-8	V-8	coll_ped	0	0	0	0	0	0	0	0
14c0a657ac3e5bb7	V-8	V-8	coll_layout	0	0	0	0	0	0	0	0
14c0a657ac3e5bb7	V-8	V-8	red_light	0	0	0	0	0	0	0	0
14c0a657ac3e5bb7	V-8	V-8	comfort	0.8	0.8	0.25	0.5455	0.5	0.9375	0.9375	0.9375
14c0a657ac3e5bb7	V-8	V-8	route_completion	31.0148	30.8112	100.4789	99.91	38.6071	40.2144	40.2144	40.2144
14c0a657ac3e5bb7	V-8	V-8	epdms	0.8468	0.8532	0.7536	0.7698	0.7638	0.7005	0.7005	0.7005
14c0a657ac3e5bb7	V-8	V-8	no_at_fault_collisions	1.0	1.0	1.0	1.0	0.9925	0.997	0.997	0.997
14c0a657ac3e5bb7	V-8	V-8	drivable_area_compliance	0.9515	0.9515	1.0	1.0	1.0	1.0	1.0	1.0
14c0a657ac3e5bb7	V-8	V-8	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
14c0a657ac3e5bb7	V-8	V-8	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
14c0a657ac3e5bb7	V-8	V-8	time_to_collision_within_bound	1.0	1.0	1.0	1.0	0.8955	0.9673	0.9673	0.9673
14c0a657ac3e5bb7	V-8	V-8	lane_keeping	1.0	0.9806	0.3629	0.3891	0.709	0.247	0.247	0.247
14c0a657ac3e5bb7	V-8	V-8	history_comfort	0.9806	0.9806	0.7339	0.7573	0.7836	0.997	0.997	0.997
14c0a657ac3e5bb7	V-8	V-8	extended_comfort	0.6796	0.7282	0.3145	0.3431	0.4254	0.7946	0.7946	0.7946
14c0a657ac3e5bb7	V-8	V-8	ego_progress	0.1893	0.1893	1.0	1.0	0.3501	0.3159	0.3159	0.3159
14c0a657ac3e5bb7	V-8	V-8	collision_count	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
14c0a657ac3e5bb7	V-8	V-8	avg_speed	2.8304	2.8121	3.9407	4.0612	2.7472	1.1807	1.1807	1.1807
1e9350ac2bc25f59	C-7	C-7	DS	20.703	20.724	100.0	20.996	100.0	21.003	42.403	21.003
1e9350ac2bc25f59	C-7	C-7	success	0	0	1	0	1	0	0	0
1e9350ac2bc25f59	C-7	C-7	RC_pct	21.0	21.0	100.0	21.0	100.0	21.0	43.14	21.0
1e9350ac2bc25f59	C-7	C-7	penalty	0.985721	0.986687	1.0	0.99963	1.0	1.0	0.982959	1.0
1e9350ac2bc25f59	C-7	C-7	termination	off_drivable	off_drivable	goal_reached	off_drivable	goal_reached	off_drivable	off_drivable	off_drivable
1e9350ac2bc25f59	C-7	C-7	term_frame	123	128	188	88	214	68	194	68
1e9350ac2bc25f59	C-7	C-7	detail	off drivable for 0.5 s through frame 123	off drivable for 0.5 s through frame 128	goal region entered	off drivable for 0.5 s through frame 88	goal region entered	off drivable for 0.5 s through frame 68	off drivable for 0.5 s through frame 194	off drivable for 0.5 s through frame 68
1e9350ac2bc25f59	C-7	C-7	frames	124	129	189	89	215	69	195	69
1e9350ac2bc25f59	C-7	C-7	warmup	8	8	8	8	8	8	8	8
1e9350ac2bc25f59	C-7	C-7	off_route_pct	1.428	1.331	0.0	0.037	0.0	0.0	1.704	0.0
1e9350ac2bc25f59	C-7	C-7	coll_vehicle	0	0	0	0	0	0	0	0
1e9350ac2bc25f59	C-7	C-7	coll_ped	0	0	0	0	0	0	0	0
1e9350ac2bc25f59	C-7	C-7	coll_layout	0	0	0	0	0	0	0	0
1e9350ac2bc25f59	C-7	C-7	red_light	0	0	0	0	0	0	0	0
1e9350ac2bc25f59	C-7	C-7	comfort	1.0	1.0	0.1111	0.75	0.2	1.0	0.8889	1.0
1e9350ac2bc25f59	C-7	C-7	route_completion	26.6892	27.2229	82.1162	19.2874	81.7128	18.2584	40.5503	18.2584
1e9350ac2bc25f59	C-7	C-7	epdms	0.7634	0.7628	0.8084	0.744	0.7832	0.8338	0.7931	0.8338
1e9350ac2bc25f59	C-7	C-7	no_at_fault_collisions	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1e9350ac2bc25f59	C-7	C-7	drivable_area_compliance	0.9569	0.9587	1.0	0.9383	1.0	0.918	0.9733	0.918
1e9350ac2bc25f59	C-7	C-7	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1e9350ac2bc25f59	C-7	C-7	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1e9350ac2bc25f59	C-7	C-7	time_to_collision_within_bound	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1e9350ac2bc25f59	C-7	C-7	lane_keeping	0.7069	0.6777	0.8564	0.8642	0.8164	1.0	0.8289	1.0
1e9350ac2bc25f59	C-7	C-7	history_comfort	1.0	1.0	0.7072	0.8765	0.6667	0.9836	0.9947	0.9836
